File,id,!ownerId,schoolBusOwner,!Name,givenName,surname,role,notes,!phone1,!phone1Type,!phone2,!phone2Type,schoolBusOwnerContactPhones,schoolBusOwnerContactAddresses,!nullID
Contact,200016,200005,rg:{'id':'200005'},142,Alma,Huerta,Driver,rg:None,604-598-4904,Yard,,Cell,"rg:[ {'id':'200016', 'type': 'Yard',  'phoneNumber': '604-598-4904' } ]","rg:dataset('ContactAddress.csv','17')",17
Contact,200017,200005,rg:{'id':'200005'},16,Celia,Schreier,rg:None,rg:None,604-830-6654,Cell,,Cell,"rg:[ {'id':'200017', 'type': 'Cell',  'phoneNumber': '604-830-6654' } ]","rg:dataset('ContactAddress.csv','18')",18
Contact,200018,200006,rg:{'id':'200006'},137,Kevin,Smith,Driver,rg:None,604-452-2413,Cell,,Cell,"rg:[ {'id':'200018', 'type': 'Cell',  'phoneNumber': '604-452-2413' } ]","rg:dataset('ContactAddress.csv','19')",19
Contact,200019,200006,rg:{'id':'200006'},2,Brad,Smith,rg:None,This is a note,250-479-5055,Cell,,Yard,"rg:[ {'id':'200019', 'type': 'Cell',  'phoneNumber': '250-479-5055' } ]","rg:dataset('ContactAddress.csv','20')",20
Contact,200020,200007,rg:{'id':'200007'},26,Emory,Hanson,rg:None,rg:None,250-346-8870,Cell,,Work,"rg:[ {'id':'200020', 'type': 'Cell',  'phoneNumber': '250-346-8870' } ]","rg:dataset('ContactAddress.csv','21')",21
Contact,200021,200007,rg:{'id':'200007'},148,Norma,Robinson,Owner,rg:None,604-807-5428,Cell,604-807-5192,Yard,"rg:[ {'id':'200021', 'type': 'Cell',  'phoneNumber': '604-807-5428' },{'type': 'Yard',  'phoneNumber': '604-807-5192' } ]","rg:dataset('ContactAddress.csv','22')",22
Contact,200022,200007,rg:{'id':'200007'},73,Tommy,Laboy,rg:None,rg:None,778-867-2691,Work,,Work,"rg:[ {'id':'200022', 'type': 'Work',  'phoneNumber': '778-867-2691' } ]","rg:dataset('ContactAddress.csv','23')",23
Contact,200023,200008,rg:{'id':'200008'},134,Robert,Millard,Owner,rg:None,250-434-0217,Work,,Cell,"rg:[ {'id':'200023', 'type': 'Work',  'phoneNumber': '250-434-0217' } ]","rg:dataset('ContactAddress.csv','24')",24
Contact,200024,200009,rg:{'id':'200009'},35,Robert,Hunt,Assistant,rg:None,250-423-0364,Cell,,Work,"rg:[ {'id':'200024', 'type': 'Cell',  'phoneNumber': '250-423-0364' } ]","rg:dataset('ContactAddress.csv','25')",25
Contact,200025,200009,rg:{'id':'200009'},146,Vincent,Brokaw,Mechanic,rg:None,604-725-4554,Yard,,Yard,"rg:[ {'id':'200025', 'type': 'Yard',  'phoneNumber': '604-725-4554' } ]","rg:dataset('ContactAddress.csv','26')",26
Contact,200026,200010,rg:{'id':'200010'},68,Lee,Arrington,Supervisor,rg:None,604-996-9971,Cell,,Cell,"rg:[ {'id':'200026', 'type': 'Cell',  'phoneNumber': '604-996-9971' } ]","rg:dataset('ContactAddress.csv','27')",27
Contact,200027,200010,rg:{'id':'200010'},13,Harry,Solomon,Assistant,rg:None,250-282-6217,Yard,,Work,"rg:[ {'id':'200027', 'type': 'Yard',  'phoneNumber': '250-282-6217' } ]","rg:dataset('ContactAddress.csv','28')",28
Contact,200028,200010,rg:{'id':'200010'},57,Dorothy,Petit,Owner,rg:None,867-333-4517,Cell,,Cell,"rg:[ {'id':'200028', 'type': 'Cell',  'phoneNumber': '867-333-4517' } ]","rg:dataset('ContactAddress.csv','29')",29
Contact,200029,200010,rg:{'id':'200010'},36,Stephanie,Young,Assistant,rg:None,604-824-5554,Cell,,Cell,"rg:[ {'id':'200029', 'type': 'Cell',  'phoneNumber': '604-824-5554' } ]","rg:dataset('ContactAddress.csv','30')",30
Contact,200030,200011,rg:{'id':'200011'},59,Alice,Bill,Mechanic,rg:None,604-830-6510,Work,,Work,"rg:[ {'id':'200030', 'type': 'Work',  'phoneNumber': '604-830-6510' } ]","rg:dataset('ContactAddress.csv','31')",31
Contact,200031,200012,rg:{'id':'200012'},56,Edna,Fitz,Mechanic,rg:None,250-415-1488,Cell,250-415-8417,Work,"rg:[ {'id':'200031', 'type': 'Cell',  'phoneNumber': '250-415-1488' },{'type': 'Work',  'phoneNumber': '250-415-8417' } ]","rg:dataset('ContactAddress.csv','32')",32
Contact,200032,200012,rg:{'id':'200012'},57,Dorothy,Petit,Driver,rg:None,867-333-4517,Yard,,Cell,"rg:[ {'id':'200032', 'type': 'Yard',  'phoneNumber': '867-333-4517' } ]","rg:dataset('ContactAddress.csv','33')",33
